Ref.,Morgan Scores (Cos.),Searched Mols (Cos.),Morgan Scores (Euc.),Searched Mols (Euc.),Morgan Scores (Ours),Generated Mols (Ours),Morgan Scores (Pre-trained hierVAE),Generated Mols (Pre-trained hierVAE)
CC(C)C#Cc1cnc2O[C@H](CN(C)Cc3cncnc3)[C@H](C)CN([C@H](C)CO)C(=O)c2c1,0.52,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)c2cnccn2)Oc3ncc(C#CCN(C)C)cc3C1=O,0.07,O=c1n([se]c2ccccc12)-c1ccccc1,0.34,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1cccnc1)OCCCCC(C)O2,0.09,Cn1c2c(c3c(N)noc31)CCN(CCC(F)(F)F)C2CO
CC(C)CC(=O)c1c(O)c(C)c(O)c2c1oc3c(C(=O)CC(C)C)c(O)c(C)c(O)c32,0.15,CC[C@H]([C@H]1O[C@@](CC)(C[C@@H]1C)[C@H]2CC[C@](O)(CC)[C@H](C)O2)C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc3ccc(C)c(O)c3C(=O)O,0.01,C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1,0.12,CC(C)NC(=O)N(C)CC1OCCCCC(C)Oc2ccc(NC(=O)CCC(F)(F)F)cc2C(=O)N(C(C)CO)CC1C,0.02,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCCCCCNCCCCNCCCCn1c(N)ccnc1=O
CC(C)CC1N2C(=O)C(NC(=O)C3CN(C)C4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(OC2(O)C7CCCN7C1=O)C(C)C,0.14,COc1ccc(cc1)[Si](C)(C)[C@@H]2[C@@H](C)[C@@]3(O[C@H]2CCO)C(=O)N(Cc4cccc(NC(=O)C)c4)c5ccccc53,0.06,CNCCCCOc1ccccc1Cc1ccccc1,0.18,CC(C)NC(=O)N(C)CC1OCc2ccccc2-c2c(n(C)c3ccccc23)C(=O)N(C(C)CO)CC1C,0.08,Cc1c(C)c(C)c(C(=O)N(C)C)c(C)c1C
CC(C)C[C@@H]1COCc2cn(CCCC(=O)N1)nn2,0.09,OC[C@@H]1O[C@H](CC(=O)N2CCOCC2)C=C[C@H]1NC(=O)NC1CCCCC1,0.09,COC(=O)C[C@H]1CC[C@@H]2[C@H](COC[C@@H](O)CN2CCC(F)(F)F)O1,0.12,COC1CN(C)C(=O)c2cc(NC(=O)NC(C)C)ccc2OCC(C)N(CC2CC2)CC1C,0.08,COc1ccc(OC)c(CN2CCN(CC(O)COc3ccccc3O)CC2)c1
CC(C)C[C@@H]1COCc2cn(CC[C@H](C)C(=O)N1)nn2,0.31,Clc1cccc(C[C@H]2CCn3cc(COC[C@H](NC2=O)c2ccccc2)nn3)c1,0.07,Cc1ccc(C)c(OCCCC(C)(C)C(O)=O)c1,0.12,CCCNC(=O)N1CC(C)C(OC)CN(C)C(=O)c2cc(NC(=O)C3CCOCC3)ccc2OCC1C,0.06,COc1ccccc1C1C(C#N)N(C(=O)c2ccccc2F)C1CO
CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)C4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C,0.12,CCC(=O)N1C[C@H](O)COC[C@H]2O[C@H](CC(=O)NCc3cc(F)cc(F)c3)CC[C@H]12,0.11,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(c1)S(N)(=O)=O,0.18,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1cccc(C(F)(F)F)c1)OCCCCC(C)O2,0.07,CCCCCCNCCCCNC(=O)c1ccc(O)c(O)c1
CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@H]2CCCN2C1=O)C(C)C,0.1,CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]3C[C@@H](CC=C(C)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)C=CC=C6CO[C@@H]7[C@H](O)C(=C[C@@H](C(=O)O3)[C@@]76O)C)O2,0.12,O[C@H]1COC[C@H]2O[C@@H](CC(=O)Nc3ccc(cc3)-c3ccccc3)CC[C@@H]2N(Cc2ccc3OCOc3c2)C1,0.18,CC(C)NC(=O)N(C)CC1OCc2ccccc2-c2c(n(C)c3ccccc23)C(=O)N(C(C)CO)CC1C,0.11,COc1ccccc1C#Cc1cnc2c(c1)C(CN(C)Cc1ccccc1C(=O)O)N(C(C)CO)C(CO)CC(CO)O2
CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CC(C)C)C(C)C)C(C)C)[C@@H](O)CC(O)=O,0,Clc1cncc(n1)N2CCNCC2,0.02,CC1(C)Oc2ccc3ccc(=O)oc3c2CC1O,0.09,CC(C)NC(=O)N(C)CC1OCCCCC(C)Oc2ccc(N(C)C)cc2C(=O)N(C(C)CO)CC1C,0,COc1ccccc1-c1nnc2ccc(N)nn12
CC(C)C[C@H]1COCc2cn(CC[C@H](C)C(=O)N1)nn2,0.12,CC(C)NC(=O)Nc1ccc2O[C@@H](C)CCCCO[C@H](CN(C)C(=O)NC(C)C)[C@H](C)CN([C@@H](C)CO)C(=O)c2c1,0.08,OC[C@@H]1[C@H]([C@@H](C#N)N1C(=O)Cc1ccncc1)c1ccc(cc1)C1=CCCCC1,0.23,CC1CN(C(C)CO)C(=O)CCCn2cc(nn2)COC1CN(C)Cc1ccc2c(c1)OCO2,0.07,COC(CN(C)S(=O)(=O)c1ccccc1C)C(C)CN(Cc1ccccc1Cl)C(C)CO
CC(C)N1CCN(CC1)c1ccc(cc1)C(=O)c1c(sc2cc(O)ccc12)-c1ccc(O)cc1,0.15,CSc1ccc2Sc3ccccc3N(CCC3CCCCN3C)c2c1,0.15,CN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,0.21,CC1CN(C(C)CO)S(=O)(=O)c2ccc(-c3ccc(C(=O)N(C)C)cc3)cc2OC1CN(C)C(=O)Nc1ccc(F)cc1,0.14,CC1=C(CN(C)C(=O)NC(C)c2ccccc2)N2CC(CCN(C(C)CO)CCCOC1=O)N=N2
CC(C)OC(=O)N(C)C[C@@H]1OCc2cnnn2CCCC(=O)N(C[C@@H]1C)[C@H](C)CO,0.5,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(Oc3ccccc3)cc2)OCc4cnnn4CCCC1=O,0.06,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,0.26,CC(C)NC(=O)N(C)CC1OCCCCC(C)Oc2ccc(NC(=O)CCC(F)(F)F)cc2C(=O)N(C(C)CO)CC1C,0.09,COc1cccc2c3c([nH]c12)C(CO)N(C(=O)Nc1cc(Cl)c(Cl)c(Cl)c1)CC3
CC(C)OC(=O)N(C)C[C@H]1OCc2cnnn2CCCC(=O)N(C[C@@H]1C)[C@H](C)CO,0.42,COc1cccc(NC(=O)N(C)C[C@@H]2OCc3cn(CCCC(=O)N(C[C@@H]2C)[C@H](C)CO)nn3)c1,0.05,NC(=O)c1cccc(N)c1,0.59,CC1CN(C(C)CO)C(=O)CCCn2nncc2COC1CN(C)CC1CCCCC1,0.1,Cn1nnnc1N1CCCC1
CC(C)OC(=O)N(C)C[C@H]1OCc2cnnn2CCCC(=O)N(C[C@H]1C)[C@@H](C)CO,0.23,CC(C)CC#Cc1ccc2c(O[C@@H](CN(C)C(=O)c3cnccn3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1,0.42,COc1ccccc1NC(=O)N(C)C[C@@H]2OCc3cn(CCCC(=O)N(C[C@H]2C)[C@H](C)CO)nn3,0.44,CC1CN(C(C)CO)C(=O)CCCn2cc(nn2)COC1CN(C)C(=O)c1cccnc1,0.08,Cc1scnc1C(C)C
CC(C)Sc1nc2n(C)c(=O)[nH]c(=O)c2n1Cc3ccccc3,0.13,Oc1cc2CCC3NCc4ccccc4C3c2cc1O,0.16,Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1,0.17,COC1CN(C)C(=O)c2cc(NC(=O)NC(C)C)ccc2OCC(C)N(Cc2ccccn2)CC1C,0.11,O=C(CC1OC(CO)C(OC(=O)Cc2cccc(Cl)c2)C(OC(=O)Cc2ccccc2)C1NC(=O)Cc1ccccc1)NCc1cccc(Cl)c1
CC(C)[C@H](O)CCC(C)C1CCC2C3CC=C4C[C@@H](O)CC[C@@]4(C)C3CC[C@@]12C,0.06,C1CCN(C1)c2nc(N3CCCC3)c4ccccc4n2,0.04,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,0.1,Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)C(=O)N(C(C)CO)CC(C)C(CN(C)C)OCCCCC(C)O3)cc1,0.07,CC1CN(C(C)CO)S(=O)(=O)c2ccc(C#CC(C)(C)O)cc2OC1CN(C)C(=O)Nc1cc(F)ccc1F
CC(C)c1cccc(NC(=O)C[C@H]2CC[C@H]3[C@@H](COc4ccc(NC(=O)c5cnccn5)cc4C(=O)N3C)O2)c1,0.17,OC[C@@H]1O[C@H](CC(=O)N2CCCCC2)C[C@H]3[C@@H]1Oc4ccc(NC(=O)NC5CCCC5)cc34,0.17,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(O)=O,0.26,CCCC(=O)Nc1ccc2c(c1)OCC(C)N(C(=O)c1cccnc1)CC(C)C(OC)CN(C)C2=O,0.1,CCCNC(=O)N1c2ccccc2CCC1CCO
CC(C)c1nnc(NC(=O)c2nc(ncc2Cl)S(=O)(=O)Cc3cccc(C)c3)s1,0.11,CC[Hg]Sc1ccccc1C(O)=O,0.1,OCCSC1=C(SCCO)C(=O)c2ccccc2C1=O,0.16,Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)Nc3ccc(C(F)(F)F)cc3)cc2)cc1,0.05,CNCC12CCCCC1CCC13C(=O)CCC=C1CCC(C)C32
CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,0.15,CCN1CCC(CNC(=O)c2cc(ccc2OC)S(=O)(=O)N)C1,0.08,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)S(=O)(=O)c2ccccc2)OCCCC[C@@H](C)Oc3ccc(NC(=O)CCCN(C)C)cc3C1=O,0.18,CC(=O)Oc1cc2ccc(C(C)(C)C)c(O)c2c(O)c1OC(C)(C)C,0.09,C=C(NC(=O)CC1CCC(NC(=O)c2ccncc2)C(CO)O1)c1ccccc1
CC/C(=C(c1ccc(O)cc1)/c2ccc(OCCN(C)C)cc2)/c3ccccc3,0.14,CSc1ccc2Sc3ccccc3N(CCC3CCCCN3C)c2c1,0.14,CSc1ccc2Sc3ccccc3N(CCC3CCCCN3C)c2c1,0.27,O=C(CCCN(Cc1ccc(C(F)(F)F)cc1)C(=O)c1ccccc1)NCc1ccc(Cl)cc1,0.04,CCCCCCCCCCCCCCCCCCC(=O)NC(CO)C(=O)O
CC1(C)O[C@@H]2CC3C4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,0.37,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,0.08,Cc1ccc(cc1)S(=O)(=O)NC(=O)NN1CCCCCC1,0.12,Cc1noc(C)c1NC(=O)NC1CCC(CC(=O)NC(C)c2ccccc2)OC1CO,0.08,CN(C)CCCCCCS(=O)(=O)N1CC(CO)CC1CO
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,0.08,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+](=O)[O-],0.06,OC(=O)c1cccc(c1)-c1noc(n1)-c1ccccc1F,0.14,CN(C)c1ccc2c(c1)C1CC(CC(=O)NCC3CC3)OC(CO)C1O2,0.04,COc1cc(C(=O)OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O)cc(CCC(=O)O)c1OC
CC1(C)S[C@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(O)=O,0.12,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C,0.15,CCOC(=O)C1CCN(CC1)C(=O)C(C)(C)NC(=O)Nc1ccc(cc1)N(C)C,0.22,CC(NC(=O)CC1CCC(NC(=O)c2cccnc2)C(CO)O1)c1ccccc1,0.11,CNCC1Oc2cc(C#CC(C)(C)O)ccc2S(=O)(=O)N(C(C)CO)CC1C
CC12CCC3C(C2CCC1O)C(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc4cc(O)ccc34,0.05,CCC(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1,0.05,CCC(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1,0.15,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCC(F)(F)F)ccc2O1,0.09,CNCC1OCc2ccc(NS(C)(=O)=O)cc2C(=O)COCC(C)C(C)N(C(C)CO)CC1=O
CC12CCC3C(CCC4C(=O)C(=O)CCC34C)C2CCC1=O,0.25,C[C@]12CCC3C(CCC4=CC(=O)CC[C@H]34)C1CC[C@@]2(O)C#C,0.25,C[C@]12CCC3C(CCC4=CC(=O)CC[C@H]34)C1CC[C@@]2(O)C#C,0.09,CC1CN(C(C)CO)C(=O)CCCn2nncc2COC1CN(C)C(=O)c1ccccc1,0,c1ccncc1
CC1=C/CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1,0.05,CN(C)/C=N/c1nnc(Sc2cc(C)nc3ccccc23)s1,0.05,CN(C)/C=N/c1nnc(Sc2cc(C)nc3ccccc23)s1,0.11,COCCN(C)CC1OCCCCC(C)Oc2ccc(NS(=O)(=O)CC#N)cc2C(=O)N(C(C)CO)CC1C,0.08,NCCCNC(=O)CC1OCCC2(CO)Oc3cccc(NS(=O)(=O)c4ccccc4F)c3C12
CC1=C/CC[C@@]2(C)O[C@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1,0.08,Cc1ccc(C=C2CNCC(=Cc3ccc(C)cc3)C2=O)cc1,0.05,[O-][N+](=O)c1ccc(/C=C(C#N)/c2nc3ccccc3[nH]2)o1,0.11,CNCC1OCCCCC(C)Oc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2C(=O)N(C(C)CO)CC1C,0.09,CN(C)C(=O)CC1CCC(NC(=O)Cc2cccnc2)C(CO)O1
CC1=C/CC[C@]2(C)OC2[C@H]2OC(=O)C(=C)[C@@H]2CC1,0.08,CCCNC(=O)[C@H]1O[C@@H]1C(=O)N[C@@H](C(C)CC)C(=O)N2CCC[C@H]2C(=O)OC,0.02,CCN(CC)C(=S)SSC(=S)N(CC)CC,0.1,CN(C)c1ccc2c(c1)C1CC(CC(=O)NCc3ccc(Cl)cc3)OC(CO)C1O2,0.04,CC(C)(c1ccccc1)C(N)C(=O)NCCCC(=O)Nc1ccc(C(F)(F)F)cc1
CC1=CCC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1,0.01,CCCCC/C=CC/C=CC/C=CC/C=CCCCC(=O)C(F)(F)F,0.09,CCCC[C@@H](C)C=C(C)C=C(/C)C(=O)NC1=C[C@@](O)(C=CC=CC=CC(=O)NC2C(=O)CCC2=O)[C@@H]2OC2C1=O,0.12,COC1CCC2CCOc3ccc(C#N)cc3C(=O)N(C)C(C)C(=O)N(C)CC1O2,0.08,Cc1c(C)c(C)c(CN2CCNCC2CC(=O)NC(C)C)c(C)c1C
CC1=CCC[C@@]2(C)O[C@H]2[C@@H]2OC(=O)C(=C)[C@@H]2CC1,0.03,Cn1nnnc1Sc2ncnc3scc(c4ccc(C#N)cc4)c23,0.05,CCCCC/C=C/C=C/1[C@@H](C/C=CCCCC(=O)O)C=CC1=O,0.11,CC(C)NC(=O)Nc1ccc2c(c1)CC(=O)N(C(C)CO)CC(C)C(CN(C)CC1CC1)O2,0.05,CC(C)(C)C(N)C(=O)Nc1cccnc1
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,0.33,CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,0.05,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,0.12,CC1CN(C(C)CO)C(=O)CCCn2cc(nn2)COC1CN(C)Cc1ccc(C(F)(F)F)cc1,0.12,CC(C)CC#Cc1ccc2c(c1)OC(CN(C)CC1CCOCC1)C(C)CN(C(C)CO)S2(=O)=O
CC=Cc1cccc(c1)-c1nc(cc2CN([C@@H](CCO)c12)[S@@](=O)C(C)(C)C)C(=O)NCc1ccccc1,0.15,CCC(=O)Nc1ccc2OC[C@@H](C)N(Cc3ccncc3)C[C@@H](C)[C@H](CN(C)C(=O)c2c1)OC,0.21,CN(C)CCCSc1ccccc1NC(=O)C=Cc1ccccc1,0.19,CC1CN(C(C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2COC1CN(C)C(=O)Nc1ccc(C(F)(F)F)cc1,0.08,CC(C)C(=C(F)F)N1CCN(C(=O)c2cc(F)cc(F)c2F)CC1
CC=Cc1cccc(c1)-c1nc(cc2CN([C@H](CCO)c12)[S@](=O)C(C)(C)C)C(=O)NCc1ccccc1,0.64,CN(C)C(=O)c1cccc(c1)-c1cccc(c1)-c1nc(cc2CN([C@@H](CCO)c12)[S@@](=O)C(C)(C)C)C(=O)NCc1ccccc1,0.44,CN1CCN(CC1)C(=O)c1cc2CN([C@H](CCO)c2c(n1)-c1cccc(c1)-c1ccc(cc1)C#N)[S@](=O)C(C)(C)C,0.2,CC(C)(C)c1ccc(S(=O)(=O)NC2C=CC(CC(=O)NCc3ccc(F)cc3)OC2CO)cc1,0.16,CC1CN(C(C)CO)C(=O)Cc2cc(NC(=O)CCCN(C)C)ccc2OC1CN(C)Cc1ccc(C(F)(F)F)cc1
CCC(=O)N1[C@@H]([C@@H](CO)[C@@H]2Cn3c(ccc(-c4ccccc4OC)c3=O)[C@H]12)C(=O)NCCCN(C)C,0.1,C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]1CO[C@@H](CC(C)=CC(=O)OCCCCCCCCC(O)=O)[C@H](O)[C@@H]1O,0.13,CCCc1c(OCCCCc2nnn[nH]2)ccc(C(C)=O)c1O,0.32,CCN1C(C(=O)NCc2ccc(Oc3ccccc3)cc2)C(CO)C2Cn3c(ccc(-c4cccnc4)c3=O)C21,0.17,COc1ccc(C(=O)Nc2cccc(Cl)c2)cc1-c1ccc(C(=O)Nc2ccccc2C)cc1
CCC(=O)N1[C@H]([C@H](CO)[C@H]2Cn3c(ccc(-c4ccccc4OC)c3=O)[C@@H]12)C(=O)NCCCN(C)C,0.19,CO[C@@H](CN(C)S(=O)(=O)c1cccc(Cl)c1)[C@@H](C)CN([C@@H](C)CO)C(=O)Nc1ccccc1F,0.11,O=C1N(C[C@H]2CCCc3cccc1c23)[C@@H]1CN2CCC1CC2,0.22,CCc1ccc(C(=O)NC2CC(CO)N(C(=O)c3cccc(F)c3)C2C(=O)NCc2cccc(OC)c2)cc1,0.16,Cc1c(C)c(C)c(NC(=O)NCCNc2ccccc2)c(C)c1C
CCC(=O)O[C@H]1CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C,0.27,C[C@]12CCC3C(CCC4=CC(=O)CC[C@H]34)C1CC[C@@]2(O)C#C,0.22,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,0.13,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)CC1CC1)OCCCCC(C)O2,0.1,CCNC(=O)CC12COC(=O)c3cccc(NC(=O)c4cccc(F)c4)c3N(C)C1CCCO2
CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0.22,C[C@@]12CC[C@H]3[C@@H](CCC4=C3CCC(=O)C4)[C@@H]2CC[C@@]1(O)C#C,0.27,C[C@]12CCC3C(CCC4=CC(=O)CC[C@H]34)C1CC[C@@]2(O)C#C,0.14,CC1CCCCOC(CN(C)C(=O)NC2CCCCC2)C(C)CN(C(C)CO)C(=O)c2cc(N(C)C)ccc2O1,0.02,OC(c1ccccc1)(c1ccncc1)c1cccc(C(F)(F)F)c1
CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12,0.07,CC(C)c1c(C(=O)Nc2ccccc2)c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(O)=O)-c1ccccc1,0.07,CC(C)c1c(C(=O)Nc2ccccc2)c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(O)=O)-c1ccccc1,0.13,COc1ccc(NC(=O)N(C)CC2OCc3cn(nn3)CCCC(=O)N(C(C)CO)CC2C)cc1,0.07,Cc1cccc(NC(=O)c2ccccc2C(=O)O)c1
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]12,0.1,OC[C@@H]1O[C@H](CC(=O)N2CCOCC2)C=C[C@H]1NC(=O)NC1CCCCC1,0.09,COC(=O)C1=C(C)N=C(C)C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCCN(C)Cc1ccccc1,0.15,CCCCCC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)c1ccccn1)C(C)CO2,0.01,C=O
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,0.07,CC(C)c1c(C(=O)Nc2ccccc2)c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(O)=O)-c1ccccc1,0.1,C[C@H]1CN(C[C@@H](C)O1)c1ccc(NC(=O)c2cccc(-c3ccc(OC(F)(F)F)cc3)c2C)cn1,0.13,CC1CCCCOC(CN(C)S(=O)(=O)c2ccccc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCC(F)(F)F)ccc2O1,0.12,CN(C)CCCNC(=O)CC1OCC(CO)C=C1NC(=O)C1CC1
CCC(C)(N(Cc1cccs1)C(=O)c2ccccn2)C(=O)NC3CCCC3,0.07,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=C/CO,0.09,CCCc1c(OCCCCc2nnn[nH]2)ccc(C(C)=O)c1O,0.15,CCCNC(=O)CC1CC2c3cc(NC(=O)c4cccnc4)ccc3OC2C(CO)O1,0.13,CN1CC(=O)COCC2OCC(CC(=O)NCc3cccc(F)c3)CC21
CCC(CC)(CC(=O)Nc1cccc(C=Cc2nc(cs2)C3CCC3)c1)C(=O)O,0.1,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)O,0.12,CC(C)Cc1ccc(cc1)C(C)C(O)=O,0.19,COc1ccccc1CNC(=O)CC1CC2c3cc(NC(=O)C4CC4)ccc3OC2C(CO)O1,0.15,CN(C)CCCNC(=O)CC12OCCCC1(CO)Oc1cccc(NS(=O)(=O)c3c(F)cccc3F)c12
CCC1CCC2OC3(CC[C@@H](C)C(C[C@H](C)O)O3)[C@H](C)C(OC(=O)C=C[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H](C)C(=O)[C@@](C)(O)[C@H](O)[C@@H](C)CC=CC=C1)[C@H]2C,0.07,Oc1ccc(C[C@@H]2N3[C@H](CN(Cc4cccc5ccccc45)C2=O)N(CCC3=O)C(=O)NCc2ccccc2)cc1,0.04,Clc1cc(Cl)c(OCC(=O)NN=Cc2ccc[nH]2)c(Cl)c1,0.13,CC1CN(C(C)CO)S(=O)(=O)c2ccc(-c3cccc(C(=O)N(C)C)c3)cc2OC1CN(C)CC1CC1,0.11,CCCCCC(=O)Nc1cccc2c1C(=O)N(Cc1cccc(F)c1)C(C)C(=O)C(C)CN(C(=O)C(C)C)CCO2
CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,0.09,COc1cc2CCN(C)[C@H]3Cc4ccc(Oc5c(O)c(OC)cc6CC[N+](C)(C)[C@H](Cc7ccc(O)c(Oc1cc23)c7)c56)cc4,0.11,CCCN1CCc2cccc-3c2[C@H]1Cc4ccc(O)c(O)c43,0.24,CCCNC(=O)NCCCNC(=O)CCNC(=O)c1ccccc1-c1ccccc1,0.13,COc1ccc(S(=O)(=O)N(C)CC2OCC(=O)C(=O)c3cc(NS(C)(=O)=O)ccc3OC(CN(C)Cc3ccccn3)CCNC(OC(=O)c3ccccc3F)C2C)cc1
CCCCCC(=O)O[C@@]1(CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C)C(C)=O,0.07,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,0.07,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,0.13,CC1CCCCOC(CN(C)CC2CCCCC2)C(C)CN(C(C)CO)C(=O)c2cc(NS(C)(=O)=O)ccc2O1,0.1,CC(N)CNC(=O)CC1OCC(NC(=O)Cn2cnnn2)CC1CO
CCCCCCCCc1ccc(cc1)-c1ccc(cc1)C(O)=O,0.06,NC(=N)NC(=O)c1nc(Cl)c(N)nc1N,0.06,NC(=N)NC(=O)c1nc(Cl)c(N)nc1N,0.21,CC(C)(C)c1ccc(C(=O)NC(CC(=O)O)C(=O)NC2CCN(Cc3ccc(F)cc3)C2)cc1,0.05,CC1=CN2N=NC(CCN(C(C)CO)CCCOC1=O)C2C
CCCCc1cc2ccccc2c(OCCN(C)C)n1,0.08,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,0.14,COc1ccc(cc1)C(CN(C)C)C1(O)CCCCC1,0.16,COc1ccc(CN(C)CC2Oc3c(NC(=O)CCCN(C)C)cccc3C(=O)N(C(C)CO)CC2C)cc1,0.02,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
CCCN(CC=CI)C1CCc2ccc(O)cc2C1,0.07,FC(F)(F)c1ccc2Sc3ccccc3Nc2c1,0.1,CC(C)Cc1ccc(cc1)C(C)C(O)=O,0.12,Cc1ccc(C)c(S(=O)(=O)NC2CCN(Cc3cccs3)C2)c1,0.12,NCCCCCCC(=O)Nc1ccc(O)c(O)c1
